datetime,emotion,confidence,score
2026-06-22 07:20:46.644350,Neutral,0.3154923915863037,70
2026-06-22 07:20:56.810041,Sad,0.3465452790260315,40
2026-06-22 07:27:17.612699,Neutral,0.4179059565067291,70
2026-06-22 07:27:27.047098,Happy,0.4419973194599151,100
2026-06-22 07:27:40.237003,Neutral,0.5974896550178528,70
2026-06-22 07:28:00.529571,Neutral,0.4053117036819458,70
2026-06-22 07:28:09.536169,Sad,0.3394934833049774,40
2026-06-22 07:28:20.720554,Sad,0.2763169109821319,40
2026-06-22 07:28:51.319984,Neutral,0.3903588950634002,70
2026-06-22 07:29:03.494776,Neutral,0.2715324461460113,70
2026-06-22 07:29:14.455643,Happy,0.5382521152496338,100
2026-06-22 07:29:26.108393,Happy,0.4364480376243591,100
2026-06-22 07:29:39.669929,Neutral,0.265862375497818,70
2026-06-22 07:29:50.513517,Neutral,0.3949571251869201,70
2026-06-22 07:30:00.520636,Sad,0.2669923007488251,40
2026-06-22 07:30:10.524972,Sad,0.3611145913600921,40
2026-06-22 07:30:56.238365,Sad,0.7742992043495178,40
2026-06-22 07:32:57.249861,Sad,0.4412308633327484,40
2026-06-22 07:38:42.756684,Neutral,0.6085185408592224,70
2026-06-22 07:38:52.836819,Neutral,0.2993795275688171,70
2026-06-22 07:39:04.888920,Neutral,0.2818833589553833,70
2026-06-22 07:39:14.952977,Sad,0.3065874874591827,40
2026-06-22 07:39:25.499818,Neutral,0.2568441927433014,70
2026-06-22 07:39:34.766652,Sad,0.3168749213218689,40
2026-06-22 09:40:57.269979,Sad,0.7293866872787476,40
2026-06-22 09:41:27.141024,Sad,0.4412308633327484,40
2026-06-22 09:44:42.682815,Surprise,0.5901586413383484,90
2026-06-22 09:45:20.550060,Happy,0.3217646777629852,100
2026-06-22 09:45:45.511288,Happy,0.2994966208934784,100
2026-06-22 09:46:55.267482,Happy,0.2320875078439712,100
2026-06-22 09:47:30.160296,Neutral,0.2230087965726852,70
2026-06-22 09:47:54.161351,Happy,0.3420931398868561,100
2026-06-22 09:48:17.293355,Neutral,0.238581508398056,70
2026-06-22 09:48:44.344725,Sad,0.4019889831542969,40
2026-06-22 09:49:23.612185,Sad,0.4019889831542969,40
2026-06-22 09:49:40.005120,Happy,0.2994966208934784,100
2026-06-22 13:10:14.253077,Happy,0.2994966208934784,100
2026-06-22 13:53:43.763578,Happy,0.2994966208934784,100
2026-06-22 20:30:55.674125,Happy,0.7067694664001465,100
2026-06-22 20:31:26.871915,Sad,0.3551405072212219,40
2026-06-22 20:31:41.165846,Surprise,0.7690187692642212,90
2026-06-22 20:31:56.922016,Happy,0.3644280135631561,100
2026-06-22 20:32:12.251947,Angry,0.2795074880123138,20
2026-06-22 20:32:26.882311,Surprise,0.5506856441497803,90
2026-06-22 20:32:44.613163,Neutral,0.3855111300945282,70
2026-06-22 20:33:12.214805,Sad,0.3298245668411255,40
2026-06-22 20:33:24.886767,Neutral,0.4738698005676269,70
2026-06-22 20:33:34.372611,Happy,0.6945654153823853,100
2026-06-22 20:33:44.928157,Surprise,0.5569782853126526,90
2026-06-22 20:33:54.300731,Neutral,0.62986159324646,70
2026-06-22 20:34:03.740047,Neutral,0.4590985476970672,70
2026-06-22 20:34:14.714291,Neutral,0.758317768573761,70
2026-06-22 20:34:39.364828,Neutral,0.758317768573761,70
2026-06-22 20:34:42.685077,Angry,0.413865864276886,20
2026-06-22 20:34:57.743187,Surprise,0.6212720274925232,90
2026-06-22 20:35:24.787088,Happy,0.5718246698379517,100
2026-06-22 20:45:04.491869,Sad,0.3551405072212219,40
2026-06-22 20:45:25.704443,Happy,0.3644280135631561,100
2026-06-22 20:46:04.926463,Happy,0.3644280135631561,100
2026-06-23 12:41:08.412427,Happy,0.7932847142219543,100
2026-06-23 12:43:06.334702,Angry,0.413865864276886,20
2026-06-23 12:43:43.660508,Sad,0.3551405072212219,40
2026-06-23 13:19:54.253624,Happy,0.4982461035251617,100
2026-06-23 13:23:20.449795,Happy,0.5590047240257263,100
